Event ID,Event Name,Event Description,Event Class,Event Information Source,Reference URL,Effective From Date,Effective To Date,From Time,To Time
522,Chinatown Moon Festival 2009,Street Fair,StrClose,,,9/19/2009,9/20/2009,,
326,Bay Bridge Closures,Construction,Construct,,,9/3/2009,9/7/2009,,
497,Outsidelands,Major Concert,PkDemandUp,,,8/28/2009,8/30/2009,,
625,Sunday Streets - Great Highway,Sunday Streets,StrClose,,,8/9/2009,8/9/2009,,
624,Sunday Streets - Great Highway,Sunday Streets,StrClose,,,8/6/2009,8/6/2009,,
657,Up your Alley,Street Fair,StrClose,,,7/29/2009,7/29/2009,,
632,Sunday Streets - Mission,Sunday Streets,StrClose,,,7/19/2009,7/19/2009,,
552,Fillmore Jazz Festival,Street Fair,StrClose,,,7/7/2009,7/8/2009,,
336,4th of July,Party,PkDemandUp,,,7/4/2009,7/4/2009,,
592,Pink Saturday/Dyke March 2009,Parade,StrClose,,,6/27/2009,6/27/2009,,
597,Pride Weekend,Street Fair,StrClose,,,,6/28/2009,,
575,Juneteenth 2009,Street Fair,StrClose,,,6/20/2009,6/21/2009,,
564,Haight Ashbury Street Fair,Street Fair,StrClose,,,6/14/2009,6/14/2009,,
589,North Beach Festival,Street Fair,StrClose,,,6/13/2009,6/14/2009,,
631,Sunday Streets - Mission,Sunday Streets,StrClose,,,6/7/2009,6/7/2009,,
653,Union Street Fair,Street Fair,StrClose,,,6/6/2009,6/7/2009,,
600,San Francisco Carnaval,Street Fair,StrClose,,,5/23/2009,5/24/2009,,
507,Bay to Breakers 2009,Race,StrClose,,,5/17/2009,5/17/2009,,
666,Bike to Work Day 2009,Other,TrnsprtEvt,,,5/14/2009,5/14/2009,,
569,How Weird Festival 2009,Street Fair,StrClose,,,5/10/2009,5/10/2009,,
613,Sunday Streets - Bayview,Sunday Streets,StrClose,,,,5/10/2009,,
517,Cherry Blossom Festival 2009,Street Fair,StrClose,,,4/17/2009,4/18/2009,,
608,St Patrick's Day Parade 2009,Parade,StrClose,,,3/16/2009,3/16/2009,,
526,Chinatown YMCA 10K/5K/Walk 2009,Race,StrClose,,,2/15/2009,2/15/2009,,
537,Chinese New Year 2009,Parade,StrClose,,,2/7/2009,2/7/2009,,
541,Chinese New Year Community Street Fair 2009,Street Fair,StrClose,,,,2/8/2009,,
533,Chinese Flower Market Fair 2009,Street Fair,StrClose,,,1/24/2009,1/25/2009,,
661,Vietnamese Tet Festival,Street Fair,StrClose,,,1/18/2009,1/18/2009,,
332,2009 New Year,Party,PkDemandUp,,,12/31/2008,1/1/2009,,
